order_id,customer_id,product_id,quantity,price,order_date,status
ORD_00001,CUST_0164,PROD_008,1,372.07,2025-05-08,pending
ORD_00002,CUST_0058,PROD_009,4,339.97,2025-05-28,completed
ORD_00003,CUST_0152,PROD_028,2,19.75,2025-07-22,pending
ORD_00004,CUST_0060,PROD_033,20,18.14,2025-11-26,pending
ORD_00005,CUST_0184,PROD_042,18,212.66,2026-01-29,refunded
ORD_00006,CUST_0151,PROD_018,1,380.61,2025-11-12,pending
ORD_00007,CUST_0179,PROD_028,11,142.55,2025-11-03,pending
ORD_00008,CUST_0196,PROD_022,4,50.91,2025-06-18,completed
ORD_00009,CUST_0092,PROD_023,20,135.94,2025-09-10,completed
ORD_00010,CUST_0187,PROD_030,18,66.79,2025-06-15,refunded
ORD_00011,CUST_0021,PROD_036,10,415.56,2025-10-04,cancelled
ORD_00012,CUST_0148,PROD_013,3,27.68,2026-04-20,pending
ORD_00013,CUST_0198,PROD_019,3,428.38,2025-08-01,completed
ORD_00014,CUST_0098,PROD_018,15,319.66,2026-04-22,cancelled
ORD_00015,CUST_0042,PROD_024,12,108.71,2025-09-14,cancelled
ORD_00016,CUST_0180,PROD_044,3,306.52,2025-07-02,pending
ORD_00017,CUST_0137,PROD_047,8,85.88,2026-02-21,refunded
ORD_00018,CUST_0070,PROD_041,18,113.71,2025-09-20,cancelled
ORD_00019,CUST_0197,PROD_050,2,118.38,2025-05-23,completed
ORD_00020,CUST_0081,PROD_026,9,37.76,2026-02-09,cancelled
ORD_00021,CUST_0055,PROD_042,16,200.84,2026-04-23,refunded
ORD_00022,CUST_0037,PROD_017,5,127.08,2025-12-28,cancelled
ORD_00023,CUST_0192,PROD_038,14,449.42,2026-03-30,refunded
ORD_00024,CUST_0093,PROD_015,5,257.22,2025-07-16,completed
ORD_00025,CUST_0194,PROD_004,4,80.66,2026-02-01,pending
ORD_00026,CUST_0175,PROD_028,20,36.45,2025-11-16,refunded
ORD_00027,CUST_0153,PROD_030,17,129.45,2025-06-20,completed
ORD_00028,CUST_0175,PROD_047,4,342.45,2025-07-14,cancelled
ORD_00029,CUST_0197,PROD_042,11,60.22,2026-03-01,refunded
ORD_00030,CUST_0041,PROD_030,1,477.14,2026-02-28,cancelled
ORD_00031,CUST_0129,PROD_049,6,256.3,2025-12-24,completed
ORD_00032,CUST_0161,PROD_020,17,306.44,2026-03-05,pending
ORD_00033,CUST_0096,PROD_049,6,271.99,2026-03-10,completed
ORD_00034,CUST_0154,PROD_021,16,14.64,2025-05-16,cancelled
ORD_00035,CUST_0079,PROD_016,2,124.23,2025-10-02,completed
ORD_00036,CUST_0022,PROD_047,16,408.93,2025-06-13,pending
ORD_00037,CUST_0033,PROD_043,16,473.69,2025-11-23,pending
ORD_00038,CUST_0068,PROD_034,20,214.45,2025-11-17,pending
ORD_00039,CUST_0139,PROD_049,7,357.91,2026-03-15,refunded
ORD_00040,CUST_0172,PROD_042,12,221.86,2026-04-19,refunded
ORD_00041,CUST_0031,PROD_016,8,36.69,2025-08-07,completed
ORD_00042,CUST_0151,PROD_036,8,296.28,2025-07-07,completed
ORD_00043,CUST_0019,PROD_046,2,118.33,2025-05-20,completed
ORD_00044,CUST_0085,PROD_005,17,122.81,2025-07-17,refunded
ORD_00045,CUST_0055,PROD_035,5,363.06,2026-04-01,refunded
ORD_00046,CUST_0063,PROD_031,14,99.25,2025-10-19,completed
ORD_00047,CUST_0169,PROD_028,12,214.67,2025-10-28,refunded
ORD_00048,CUST_0187,PROD_004,4,35.0,2025-07-28,cancelled
ORD_00049,CUST_0028,PROD_016,7,99.15,2026-03-18,refunded
ORD_00050,CUST_0036,PROD_028,6,142.88,2025-07-07,pending
ORD_00051,CUST_0020,PROD_029,18,53.46,2026-04-12,completed
ORD_00052,CUST_0024,PROD_049,8,87.32,2025-09-10,refunded
ORD_00053,CUST_0124,PROD_014,13,451.71,2025-11-17,pending
ORD_00054,CUST_0098,PROD_001,13,136.28,2026-04-03,refunded
ORD_00055,CUST_0074,PROD_028,18,332.63,2025-07-26,refunded
ORD_00056,CUST_0040,PROD_013,10,112.76,2025-12-15,completed
ORD_00057,CUST_0149,PROD_048,18,35.17,2025-09-01,cancelled
ORD_00058,CUST_0015,PROD_004,19,241.01,2025-08-23,pending
ORD_00059,CUST_0015,PROD_033,3,426.41,2025-10-24,completed
ORD_00060,CUST_0153,PROD_005,8,204.87,2026-03-24,pending
ORD_00061,CUST_0149,PROD_039,2,311.59,2026-02-12,refunded
ORD_00062,CUST_0169,PROD_038,19,263.78,2026-04-21,cancelled
ORD_00063,CUST_0053,PROD_043,11,123.15,2025-07-04,refunded
ORD_00064,CUST_0034,PROD_043,10,231.33,2026-01-31,completed
ORD_00065,CUST_0003,PROD_030,20,499.23,2025-11-14,completed
ORD_00066,CUST_0019,PROD_035,7,255.41,2025-09-19,pending
ORD_00067,CUST_0090,PROD_005,8,187.92,2026-01-18,pending
ORD_00068,CUST_0113,PROD_035,10,307.78,2026-02-28,completed
ORD_00069,CUST_0171,PROD_036,10,466.22,2025-11-09,completed
ORD_00070,CUST_0035,PROD_017,4,445.41,2026-03-24,pending
ORD_00071,CUST_0070,PROD_019,20,109.26,2025-06-20,cancelled
ORD_00072,CUST_0053,PROD_044,9,255.18,2025-06-24,cancelled
ORD_00073,CUST_0014,PROD_006,14,415.53,2025-08-06,completed
ORD_00074,CUST_0001,PROD_022,5,320.37,2025-10-16,cancelled
ORD_00075,CUST_0042,PROD_048,15,278.08,2025-08-05,refunded
ORD_00076,CUST_0144,PROD_001,4,42.25,2025-07-27,pending
ORD_00077,CUST_0140,PROD_003,12,293.34,2025-10-17,pending
ORD_00078,CUST_0111,PROD_009,2,157.59,2025-09-22,completed
ORD_00079,CUST_0092,PROD_014,8,335.13,2025-07-09,cancelled
ORD_00080,CUST_0200,PROD_036,14,487.05,2025-11-22,pending
ORD_00081,CUST_0061,PROD_011,6,441.3,2026-03-12,completed
ORD_00082,CUST_0046,PROD_048,11,392.28,2025-06-10,refunded
ORD_00083,CUST_0172,PROD_048,8,137.07,2026-04-25,completed
ORD_00084,CUST_0098,PROD_003,16,115.1,2025-05-18,refunded
ORD_00085,CUST_0090,PROD_020,8,115.35,2025-07-17,pending
ORD_00086,CUST_0103,PROD_022,9,432.85,2025-06-30,cancelled
ORD_00087,CUST_0090,PROD_042,17,202.84,2025-09-19,cancelled
ORD_00088,CUST_0008,PROD_008,9,93.39,2025-09-20,cancelled
ORD_00089,CUST_0010,PROD_007,20,220.11,2025-09-14,cancelled
ORD_00090,CUST_0112,PROD_039,17,62.24,2025-08-09,pending
ORD_00091,CUST_0066,PROD_003,14,5.84,2026-01-19,pending
ORD_00092,CUST_0094,PROD_028,3,474.69,2025-12-28,cancelled
ORD_00093,CUST_0160,PROD_021,4,361.28,2025-11-04,cancelled
ORD_00094,CUST_0130,PROD_020,14,166.46,2025-11-18,cancelled
ORD_00095,CUST_0142,PROD_009,7,213.12,2025-06-30,refunded
ORD_00096,CUST_0174,PROD_048,6,309.68,2025-07-15,cancelled
ORD_00097,CUST_0104,PROD_036,1,155.42,2026-04-28,pending
ORD_00098,CUST_0111,PROD_038,20,329.08,2026-02-06,refunded
ORD_00099,CUST_0114,PROD_029,7,258.03,2025-11-14,pending
ORD_00100,CUST_0169,PROD_006,10,260.15,2025-07-23,cancelled
ORD_00101,CUST_0024,PROD_049,8,338.03,2025-07-01,pending
ORD_00102,CUST_0051,PROD_010,1,27.88,2025-05-05,refunded
ORD_00103,CUST_0157,PROD_050,3,230.43,2025-11-24,pending
ORD_00104,CUST_0184,PROD_045,13,249.72,2026-03-23,pending
ORD_00105,CUST_0038,PROD_042,1,446.87,2026-03-27,completed
ORD_00106,CUST_0200,PROD_028,8,92.06,2025-05-21,refunded
ORD_00107,CUST_0013,PROD_036,8,459.15,2025-07-22,completed
ORD_00108,CUST_0117,PROD_009,15,335.45,2025-12-31,cancelled
ORD_00109,CUST_0194,PROD_029,20,408.43,2026-04-23,refunded
ORD_00110,CUST_0141,PROD_029,6,373.11,2026-04-21,refunded
ORD_00111,CUST_0116,PROD_017,8,420.73,2025-08-26,cancelled
ORD_00112,CUST_0197,PROD_050,17,244.88,2025-11-04,pending
ORD_00113,CUST_0071,PROD_029,3,358.2,2025-11-11,pending
ORD_00114,CUST_0070,PROD_022,11,447.05,2025-09-28,completed
ORD_00115,CUST_0036,PROD_010,8,194.6,2025-08-14,pending
ORD_00116,CUST_0181,PROD_014,3,210.36,2026-04-29,cancelled
ORD_00117,CUST_0139,PROD_030,14,35.82,2026-01-27,refunded
ORD_00118,CUST_0100,PROD_050,19,473.3,2025-07-07,completed
ORD_00119,CUST_0196,PROD_037,13,241.1,2026-03-14,cancelled
ORD_00120,CUST_0077,PROD_049,13,427.46,2025-11-01,refunded
ORD_00121,CUST_0138,PROD_048,18,400.93,2026-04-19,pending
ORD_00122,CUST_0125,PROD_015,9,220.74,2026-03-21,completed
ORD_00123,CUST_0100,PROD_022,13,363.47,2025-10-30,refunded
ORD_00124,CUST_0033,PROD_040,18,18.35,2025-07-20,refunded
ORD_00125,CUST_0152,PROD_037,1,46.55,2026-02-20,refunded
ORD_00126,CUST_0035,PROD_030,6,29.89,2025-09-15,refunded
ORD_00127,CUST_0084,PROD_014,15,166.79,2026-04-22,refunded
ORD_00128,CUST_0072,PROD_049,14,129.87,2026-04-16,completed
ORD_00129,CUST_0121,PROD_002,18,30.78,2025-12-31,cancelled
ORD_00130,CUST_0058,PROD_042,3,391.71,2026-04-21,completed
ORD_00131,CUST_0194,PROD_002,8,103.68,2026-02-19,completed
ORD_00132,CUST_0160,PROD_010,8,67.48,2025-07-30,completed
ORD_00133,CUST_0145,PROD_014,15,351.24,2026-04-12,cancelled
ORD_00134,CUST_0043,PROD_039,20,482.05,2026-02-24,completed
ORD_00135,CUST_0200,PROD_011,10,58.51,2025-10-31,completed
ORD_00136,CUST_0080,PROD_037,13,201.34,2026-02-09,pending
ORD_00137,CUST_0020,PROD_038,8,55.44,2025-12-18,cancelled
ORD_00138,CUST_0176,PROD_039,4,399.13,2025-10-17,completed
ORD_00139,CUST_0089,PROD_035,14,332.45,2025-11-15,completed
ORD_00140,CUST_0130,PROD_042,11,11.26,2026-02-04,refunded
ORD_00141,CUST_0126,PROD_007,14,480.59,2025-05-20,refunded
ORD_00142,CUST_0182,PROD_010,14,92.19,2026-01-05,cancelled
ORD_00143,CUST_0158,PROD_035,16,235.11,2025-06-01,cancelled
ORD_00144,CUST_0083,PROD_016,3,143.07,2026-04-29,refunded
ORD_00145,CUST_0063,PROD_049,15,287.08,2025-07-22,refunded
ORD_00146,CUST_0087,PROD_002,16,426.22,2025-05-16,pending
ORD_00147,CUST_0125,PROD_014,12,399.93,2025-06-25,cancelled
ORD_00148,CUST_0072,PROD_039,9,280.12,2025-12-06,pending
ORD_00149,CUST_0022,PROD_016,14,246.85,2026-01-18,pending
ORD_00150,CUST_0177,PROD_031,16,226.85,2026-04-25,completed
ORD_00151,CUST_0024,PROD_019,8,205.18,2025-08-07,pending
ORD_00152,CUST_0079,PROD_043,19,187.67,2026-01-31,cancelled
ORD_00153,CUST_0109,PROD_048,18,168.74,2025-08-27,refunded
ORD_00154,CUST_0070,PROD_020,9,119.12,2025-07-27,pending
ORD_00155,CUST_0081,PROD_008,18,475.68,2025-08-13,pending
ORD_00156,CUST_0050,PROD_014,16,141.87,2025-11-03,cancelled
ORD_00157,CUST_0026,PROD_013,10,117.6,2026-02-11,pending
ORD_00158,CUST_0078,PROD_001,18,67.66,2025-12-09,completed
ORD_00159,CUST_0014,PROD_036,10,350.22,2026-02-18,pending
ORD_00160,CUST_0164,PROD_049,16,55.78,2026-04-28,completed
ORD_00161,CUST_0147,PROD_019,16,241.96,2025-05-09,cancelled
ORD_00162,CUST_0048,PROD_004,9,470.83,2026-03-01,refunded
ORD_00163,CUST_0030,PROD_005,13,248.41,2025-08-24,completed
ORD_00164,CUST_0039,PROD_010,19,474.82,2026-03-07,completed
ORD_00165,CUST_0064,PROD_008,18,383.4,2026-03-12,pending
ORD_00166,CUST_0199,PROD_034,13,228.0,2025-12-05,refunded
ORD_00167,CUST_0077,PROD_038,14,156.16,2026-03-24,completed
ORD_00168,CUST_0157,PROD_048,4,474.06,2026-03-27,pending
ORD_00169,CUST_0161,PROD_014,9,331.91,2025-09-04,pending
ORD_00170,CUST_0062,PROD_012,18,42.16,2025-07-19,completed
ORD_00171,CUST_0105,PROD_029,20,237.61,2025-12-07,completed
ORD_00172,CUST_0060,PROD_019,10,352.98,2026-01-27,refunded
ORD_00173,CUST_0019,PROD_044,8,462.34,2026-04-23,pending
ORD_00174,CUST_0109,PROD_008,18,116.28,2025-12-11,pending
ORD_00175,CUST_0069,PROD_010,3,34.52,2026-01-01,cancelled
ORD_00176,CUST_0153,PROD_048,19,460.99,2025-10-28,refunded
ORD_00177,CUST_0032,PROD_030,10,351.37,2026-03-06,cancelled
ORD_00178,CUST_0129,PROD_035,16,221.69,2025-07-19,completed
ORD_00179,CUST_0111,PROD_048,11,303.84,2026-01-12,completed
ORD_00180,CUST_0024,PROD_015,19,295.63,2025-11-13,completed
ORD_00181,CUST_0196,PROD_044,9,290.24,2026-02-05,pending
ORD_00182,CUST_0121,PROD_034,15,458.46,2026-03-28,pending
ORD_00183,CUST_0150,PROD_028,16,484.68,2025-09-03,refunded
ORD_00184,CUST_0090,PROD_027,11,163.92,2025-12-05,completed
ORD_00185,CUST_0042,PROD_022,14,348.37,2025-08-11,cancelled
ORD_00186,CUST_0170,PROD_026,18,23.17,2026-03-07,completed
ORD_00187,CUST_0081,PROD_017,11,62.38,2025-11-25,refunded
ORD_00188,CUST_0132,PROD_001,18,233.68,2025-05-21,completed
ORD_00189,CUST_0049,PROD_034,12,313.2,2026-03-21,refunded
ORD_00190,CUST_0161,PROD_029,2,105.76,2025-06-22,pending
ORD_00191,CUST_0074,PROD_029,16,65.11,2026-02-08,pending
ORD_00192,CUST_0182,PROD_011,10,277.67,2025-05-06,refunded
ORD_00193,CUST_0024,PROD_015,4,233.42,2025-11-08,completed
ORD_00194,CUST_0166,PROD_010,16,466.66,2026-01-17,cancelled
ORD_00195,CUST_0131,PROD_046,9,210.67,2025-07-08,refunded
ORD_00196,CUST_0121,PROD_016,15,277.88,2025-11-12,refunded
ORD_00197,CUST_0049,PROD_039,17,374.41,2025-08-10,pending
ORD_00198,CUST_0018,PROD_018,14,173.24,2025-12-26,cancelled
ORD_00199,CUST_0001,PROD_019,10,419.55,2026-01-18,refunded
ORD_00200,CUST_0039,PROD_029,18,244.75,2025-12-13,cancelled
ORD_00201,CUST_0142,PROD_049,18,191.72,2025-06-26,cancelled
ORD_00202,CUST_0049,PROD_045,8,288.04,2025-05-26,pending
ORD_00203,CUST_0199,PROD_027,2,162.5,2026-03-02,refunded
ORD_00204,CUST_0181,PROD_025,13,494.26,2026-04-16,pending
ORD_00205,CUST_0127,PROD_003,5,253.63,2026-04-22,cancelled
ORD_00206,CUST_0026,PROD_029,4,265.35,2026-02-28,refunded
ORD_00207,CUST_0004,PROD_047,5,207.94,2026-02-19,pending
ORD_00208,CUST_0020,PROD_031,9,172.59,2025-09-12,refunded
ORD_00209,CUST_0167,PROD_006,11,426.91,2025-11-21,refunded
ORD_00210,CUST_0082,PROD_041,16,436.83,2025-08-25,completed
ORD_00211,CUST_0159,PROD_005,8,317.42,2025-06-12,cancelled
ORD_00212,CUST_0059,PROD_048,3,219.82,2025-12-30,completed
ORD_00213,CUST_0195,PROD_041,4,224.62,2026-03-03,cancelled
ORD_00214,CUST_0008,PROD_003,11,399.09,2025-10-06,cancelled
ORD_00215,CUST_0092,PROD_024,14,77.06,2026-01-30,refunded
ORD_00216,CUST_0145,PROD_044,6,89.14,2025-08-18,completed
ORD_00217,CUST_0157,PROD_025,20,343.15,2025-12-31,refunded
ORD_00218,CUST_0150,PROD_010,8,233.27,2025-06-24,cancelled
ORD_00219,CUST_0118,PROD_017,1,449.96,2025-07-14,refunded
ORD_00220,CUST_0074,PROD_044,18,83.2,2025-12-22,refunded
ORD_00221,CUST_0089,PROD_038,10,321.27,2025-12-24,refunded
ORD_00222,CUST_0177,PROD_017,15,423.43,2025-10-27,pending
ORD_00223,CUST_0099,PROD_031,4,122.42,2025-09-11,cancelled
ORD_00224,CUST_0148,PROD_019,10,15.86,2025-12-23,refunded
ORD_00225,CUST_0071,PROD_001,19,433.21,2026-04-30,completed
ORD_00226,CUST_0156,PROD_048,16,417.26,2026-02-12,cancelled
ORD_00227,CUST_0199,PROD_015,20,401.96,2026-03-24,pending
ORD_00228,CUST_0163,PROD_013,20,129.06,2025-11-10,pending
ORD_00229,CUST_0161,PROD_007,2,157.92,2025-10-20,refunded
ORD_00230,CUST_0009,PROD_038,12,367.52,2025-05-28,completed
ORD_00231,CUST_0076,PROD_021,14,91.94,2025-10-30,pending
ORD_00232,CUST_0139,PROD_024,17,253.39,2026-03-07,cancelled
ORD_00233,CUST_0043,PROD_017,16,483.86,2025-10-16,cancelled
ORD_00234,CUST_0192,PROD_022,4,236.82,2025-08-10,completed
ORD_00235,CUST_0037,PROD_049,8,430.77,2025-05-28,refunded
ORD_00236,CUST_0143,PROD_024,3,396.39,2026-03-08,completed
ORD_00237,CUST_0068,PROD_035,4,230.12,2025-08-03,cancelled
ORD_00238,CUST_0150,PROD_025,12,58.63,2026-04-30,pending
ORD_00239,CUST_0121,PROD_002,20,442.7,2025-11-08,cancelled
